Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"May, 2000",97.68,98.83,99.44,99.7,100.25
"Jun, 2000",98.43,99.2,99.44,99.79,100.16
"Jul, 2000",98.53,99.23,99.51,99.68,100.11
"Aug, 2000",98.83,99.38,99.59,99.78,100.64
"Sep, 2000",98.3,99.19,99.56,99.82,100.91
"Oct, 2000",98.86,99.59,99.93,100.35,101.34
"Nov, 2000",98.09,98.82,99.5,99.92,100.53
"Dec, 2000",97.41,99.34,99.66,100.62,101.35
"Jan, 2001",97.54,99.18,99.59,100.07,100.72
"Feb, 2001",98.35,99.45,99.91,100.42,101.56
"Mar, 2001",97.53,98.95,99.28,99.76,100.95
"Apr, 2001",98.45,99.26,99.7,100.08,101.2
"May, 2001",98.52,99.11,99.47,99.87,100.8
"Jun, 2001",98.24,99.16,99.52,99.81,100.54
"Jul, 2001",98.57,99.08,99.42,99.79,100.6
"Aug, 2001",98.8,99.11,99.47,99.71,100.39
"Sep, 2001",98.76,99.28,99.62,100.03,100.61
"Oct, 2001",97.77,98.96,99.39,100.02,101.44
"Nov, 2001",98.95,99.46,99.83,100.18,100.94
"Dec, 2001",97.8,98.7,99.32,100.1,100.8
"Jan, 2002",97.81,98.78,99.21,99.54,100.25
"Feb, 2002",98.05,98.88,99.5,99.91,100.73
"Mar, 2002",98.16,99.38,99.78,100.12,100.86
"Apr, 2002",98.44,99.19,99.65,100.16,101.09
"May, 2002",97.93,99.15,99.54,100.02,100.93
"Jun, 2002",98.03,98.9,99.65,99.93,100.74
"Jul, 2002",98.75,99.29,99.44,99.76,100.4
"Aug, 2002",98.98,99.45,99.59,100.23,100.82
"Sep, 2002",98.74,99.34,99.62,100.07,100.61
"Oct, 2002",98.62,99.42,99.82,100.16,100.97
"Nov, 2002",97.34,98.71,99.43,99.65,100.46
"Dec, 2002",97.47,98.83,99.56,99.98,100.95
"Jan, 2003",96.97,99.2,99.7,99.85,100.86
"Feb, 2003",97.23,98.98,99.61,100.02,101.58
"Mar, 2003",98.42,99.08,99.36,99.74,100.44
