Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Jan, 1999",0.0,0.0,1.2,6.4,14.4
"Feb, 1999",0.0,0.0,0.0,1.0,12.2
"Mar, 1999",0.0,0.0,0.0,0.0,12.2
"Apr, 1999",0.0,0.0,0.0,0.8,20.2
"May, 1999",0.0,0.0,0.0,0.0,14.8
"Jun, 1999",0.0,0.0,0.0,1.2,18.2
"Jul, 1999",0.0,0.0,0.0,1.0,22.0
"Aug, 1999",0.0,0.0,0.0,0.8,33.8
"Sep, 1999",0.0,0.0,0.0,1.4,46.6
"Oct, 1999",0.0,0.0,0.0,0.4,36.4
"Nov, 1999",0.0,0.0,0.0,0.0,52.4
"Dec, 1999",0.0,0.0,0.0,1.2,5.0
"Jan, 2000",0.0,0.0,0.0,1.0,9.0
"Feb, 2000",0.0,0.0,0.4,3.5,10.2
"Mar, 2000",0.0,0.0,0.0,0.7,5.0
"Apr, 2000",0.0,0.0,0.0,1.55,38.8
"May, 2000",0.0,0.0,0.0,2.3,59.4
"Jun, 2000",0.0,0.0,0.9,6.0,53.8
"Jul, 2000",0.0,0.0,0.0,0.7,11.2
"Aug, 2000",0.0,0.0,0.0,0.4,14.6
"Sep, 2000",0.0,0.0,0.0,0.4,17.0
"Oct, 2000",0.0,0.0,0.0,0.4,4.4
"Nov, 2000",0.0,0.0,0.0,0.95,24.2
"Dec, 2000",0.0,0.0,0.2,4.5,12.4
"Jan, 2001",0.0,0.0,0.0,0.5,13.0
"Feb, 2001",0.0,0.0,0.2,1.25,40.4
"Mar, 2001",0.0,0.0,0.0,0.7,13.2
"Apr, 2001",0.0,0.0,0.0,0.6,8.4
"May, 2001",0.0,0.0,0.0,1.7,27.0
"Jun, 2001",0.0,0.0,0.0,2.95,17.0
"Jul, 2001",0.0,0.0,0.0,1.1,9.4
"Aug, 2001",0.0,0.0,0.0,0.2,16.2
"Sep, 2001",0.0,0.0,0.0,0.4,13.4
"Oct, 2001",0.0,0.0,0.2,4.2,36.0
"Nov, 2001",0.0,0.0,0.0,0.5,19.2
"Dec, 2001",0.0,0.0,0.0,0.5,11.8
"Jan, 2002",0.0,0.0,0.0,1.0,17.6
"Feb, 2002",0.0,0.0,0.0,1.05,12.2
"Mar, 2002",0.0,0.0,0.0,2.4,11.6
"Apr, 2002",0.0,0.0,0.2,2.95,22.8
"May, 2002",0.0,0.0,0.0,2.8,16.8
"Jun, 2002",0.0,0.0,0.0,2.55,15.2
"Jul, 2002",0.0,0.0,0.0,3.4,12.6
"Aug, 2002",0.0,0.0,0.0,0.0,3.8
"Sep, 2002",0.0,0.0,0.0,0.0,29.0
"Oct, 2002",0.0,0.0,0.0,1.3,10.2
"Nov, 2002",0.0,0.0,0.4,1.35,27.0
