Date,precipitation,avg_hourly_pressure_station,avg_hourly_wind_speed,max_wind_speed,avg_hourly_temperature,max_temperature,min_temperature
1986-05-22,9.4,99.29,6.46,13,12.14,16.7,6.7
1986-05-23,5.8,99.2,7.96,15,13.17,15.8,9.4
1986-05-24,0.0,99.75,9.88,19,14.56,20.9,8.9
1986-05-25,0.0,99.91,12.88,19,17.37,24.9,9.5
1986-05-26,0.0,99.95,8.54,15,18.61,25.2,12.4
1986-05-27,0.0,99.66,7.42,15,18.08,23.6,11.8
1986-05-28,0.0,99.57,12.42,24,20.49,27.6,12.9
1986-05-29,0.0,99.32,13.96,26,22.77,28.7,14.6
1986-05-30,0.0,98.79,12.58,26,23.22,29.0,17.1
1986-05-31,1.2,98.76,12.17,22,17.4,23.0,11.8
1986-06-01,0.4,98.53,19.08,41,15.46,27.1,7.1
1986-06-02,0.0,100.01,17.25,26,9.12,14.1,4.3
1986-06-03,0.0,100.31,9.42,19,10.71,17.6,2.2
1986-06-04,0.0,99.41,10.75,22,18.08,27.0,5.8
1986-06-05,4.4,99.51,12.54,20,14.85,17.4,10.3
1986-06-06,0.0,99.63,12.5,24,14.63,17.6,11.8
1986-06-07,1.1,98.87,9.25,15,16.35,21.6,14.2
1986-06-08,3.2,98.7,20.96,31,18.94,23.9,10.5
1986-06-09,0.0,100.04,9.58,19,15.63,23.1,7.6
1986-06-10,6.8,99.65,7.42,13,15.63,23.7,6.3
1986-06-11,4.8,98.84,10.83,20,16.62,20.0,13.9
1986-06-12,12.6,98.54,16.12,35,15.02,17.0,13.5
1986-06-13,0.0,99.28,18.83,30,17.09,22.2,9.4
1986-06-14,0.0,99.81,7.96,17,17.02,23.1,9.3
1986-06-15,0.0,99.58,6.83,13,16.75,20.0,12.9
1986-06-16,5.3,98.7,20.75,41,19.23,27.9,10.5
1986-06-17,0.0,99.85,18.42,28,12.22,17.9,6.3
1986-06-18,0.0,99.78,14.25,26,14.52,21.3,6.0
1986-06-19,0.2,99.22,9.29,26,17.45,22.5,11.4
1986-06-20,0.0,99.77,13.88,24,17.84,23.7,11.2
1986-06-21,0.0,100.12,10.08,20,17.69,24.6,9.0
1986-06-22,13.9,99.21,10.92,22,21.95,31.7,12.6
1986-06-23,0.0,98.95,19.96,31,21.28,26.6,14.8
1986-06-24,6.4,99.07,20.25,35,14.48,18.7,7.4
1986-06-25,0.0,99.99,13.0,28,13.88,20.2,6.7
1986-06-26,0.0,99.87,12.38,22,19.32,25.0,13.6
1986-06-27,5.7,99.03,13.25,26,21.11,25.0,18.5
1986-06-28,0.5,98.93,11.79,22,21.87,27.8,15.7
1986-06-29,2.1,98.94,16.71,26,18.27,25.9,11.8
1986-06-30,0.0,99.48,12.75,19,16.29,22.6,9.7
1986-07-01,5.0,99.48,8.96,19,16.64,22.7,7.8
1986-07-02,0.0,98.7,15.54,24,18.72,24.3,13.5
1986-07-03,0.0,99.5,18.29,31,15.16,19.6,10.9
1986-07-04,0.2,99.5,16.92,30,18.65,25.2,10.2
1986-07-05,0.0,99.58,11.75,20,25.12,30.8,19.7
1986-07-06,0.0,99.84,12.42,28,27.51,34.3,20.3
1986-07-07,0.0,99.87,9.33,22,24.89,30.4,17.3
