Date,ObservedsfcWindmax,ModelsfcWindmax
1987-01-23,52,37.090198799999996
1987-01-24,41,23.17895496
1987-01-25,26,12.14224776
1987-01-26,19,21.7913652
1987-01-27,19,25.80145344
1987-01-28,19,36.1383984
1987-01-29,33,37.4620896
1987-01-30,33,32.7670308
1987-01-31,43,23.6729628
1987-02-01,22,14.046371999999998
1987-02-02,22,21.2311764
1987-02-03,35,24.7873428
1987-02-04,41,28.9647216
1987-02-05,24,47.4924636
1987-02-06,24,31.680594
1987-02-07,28,26.04368988
1987-02-08,61,38.9781324
1987-02-09,52,37.3804848
1987-02-10,30,29.9969172
1987-02-11,17,29.912418
1987-02-12,63,30.762446400000005
1987-02-13,26,21.1558176
1987-02-14,22,45.5079312
1987-02-15,31,42.82769879999999
1987-02-16,17,29.249604
1987-02-17,20,26.804149199999998
1987-02-18,22,21.820626
1987-02-19,13,15.473437200000001
1987-02-20,11,41.79691079999999
1987-02-21,9,46.711079999999995
1987-02-22,17,40.7456028
1987-02-23,31,31.471927200000003
1987-02-24,20,46.8317484
1987-02-25,22,29.644311600000005
1987-02-26,15,27.897885
1987-02-27,22,24.45226199999999
1987-02-28,41,20.573845199999997
1987-03-01,43,36.81533520000001
1987-03-02,41,24.98777856
1987-03-03,35,42.240365999999995
1987-03-04,19,49.24653120000001
1987-03-05,15,40.4100216
1987-03-06,20,27.9100224
1987-03-07,33,41.6323404
1987-03-08,33,37.317501
1987-03-09,46,39.5539308
1987-03-10,30,17.629217999999998
1987-03-11,20,28.89513
1987-03-12,20,12.430311840000002
1987-03-13,17,16.129340640000002
1987-03-14,13,34.1882388
1987-03-15,22,39.6115128
1987-03-16,31,32.9125284
1987-03-17,37,27.356063399999996
1987-03-18,20,29.693286000000004
1987-03-19,30,37.490058000000005
1987-03-20,33,43.357194
1987-03-21,30,35.2246176
1987-03-22,22,23.4685404
1987-03-23,13,41.9526054
1987-03-24,22,31.873845600000006
1987-03-25,26,20.5573896
1987-03-26,28,31.393699200000004
1987-03-27,13,27.42076944
1987-03-28,20,39.491712
1987-03-29,22,41.0404932
1987-03-30,33,31.0078836
1987-03-31,43,18.71496108
1987-04-01,28,17.065427399999994
1987-04-02,31,33.4201392
1987-04-03,22,16.8902352
1987-04-04,50,39.1951152
1987-04-05,52,36.340398
1987-04-06,30,42.59559960000001
1987-04-07,35,34.054884
1987-04-08,26,33.0287724
1987-04-09,22,39.1647096
1987-04-10,17,36.0472644
1987-04-11,24,22.0741848
1987-04-12,24,36.460958399999996
1987-04-13,22,59.9982192
1987-04-14,30,38.9189628
1987-04-15,37,20.7806688
1987-04-16,30,15.285695400000002
1987-04-17,20,10.419728760000002
1987-04-18,17,12.62271168
1987-04-19,13,16.84622628
1987-04-20,15,35.31584520000001
1987-04-21,48,28.69778268
1987-04-22,26,28.9694016
1987-04-23,30,26.206615440000004
1987-04-24,31,17.7590088
1987-04-25,22,20.7644724
1987-04-26,22,54.6544116
1987-04-27,28,42.8851008
1987-04-28,28,30.2828256
1987-04-29,56,33.088680000000004
1987-04-30,41,40.5496908
1987-05-01,31,35.1290304
1987-05-02,24,30.091550400000006
1987-05-03,26,34.694542799999994
1987-05-04,20,29.262988800000002
1987-05-05,20,23.73769908
1987-05-06,30,56.1625596
1987-05-07,28,57.12316200000001
1987-05-08,30,30.876395399999996
1987-05-09,41,22.7308284
1987-05-10,24,27.118765799999995
1987-05-11,39,22.546188
1987-05-12,33,31.3158348
1987-05-13,24,28.2073932
1987-05-14,37,23.0718744
1987-05-15,33,20.0994462
1987-05-16,24,37.8241236
1987-05-17,28,38.03989680000001
1987-05-18,26,30.300940800000006
1987-05-19,39,24.666516
1987-05-20,24,20.88065304
1987-05-21,15,18.1945152
1987-05-22,19,38.4324246
1987-05-23,24,34.091589600000006
1987-05-24,17,24.512382720000005
1987-05-25,24,23.93475624000001
1987-05-26,9,18.63917784
1987-05-27,22,37.5829164
1987-05-28,20,29.404782
1987-05-29,26,21.56638536
1987-05-30,24,25.44609384
1987-05-31,17,30.7453428
1987-06-01,15,19.84565664
1987-06-02,17,22.2440958
1987-06-03,28,44.37385560000001
1987-06-04,28,21.1117176
1987-06-05,24,37.9403136
1987-06-06,19,36.2762604
1987-06-07,17,37.2695868
1987-06-08,48,34.550715600000004
1987-06-09,31,26.021133719999995
1987-06-10,17,25.453066680000006
1987-06-11,20,27.46044
1987-06-12,31,34.2885816
1987-06-13,22,21.0555792
1987-06-14,35,23.12311176
1987-06-15,30,17.212822559999996
1987-06-16,33,22.74209748
1987-06-17,19,43.7621364
1987-06-18,15,33.0154632
1987-06-19,17,25.810335000000002
1987-06-20,19,22.2504336
1987-06-21,17,29.702448000000004
1987-06-22,15,17.921755079999997
1987-06-23,17,21.0797316
1987-06-24,15,16.60967172
1987-06-25,20,33.9939072
1987-06-26,24,54.0049752
1987-06-27,37,32.818464
1987-06-28,30,53.39295
1987-06-29,35,23.904135
1987-06-30,20,16.329744
1987-07-01,11,13.2851592
1987-07-02,30,15.3745524
1987-07-03,26,26.6025276
1987-07-04,22,15.49414548
1987-07-05,17,16.1423712
1987-07-06,20,13.136922360000002
1987-07-07,19,11.80718208
1987-07-08,28,19.53917784
1987-07-09,26,16.770348000000002
1987-07-10,31,13.472079120000005
1987-07-11,22,28.35297828
1987-07-12,22,34.5893796
1987-07-13,24,19.58677776
1987-07-14,37,13.39541784
1987-07-15,15,23.2325712
1987-07-16,13,24.06189708
1987-07-17,22,25.447419
1987-07-18,26,17.242020000000004
1987-07-19,24,14.058122399999998
1987-07-20,33,22.206517199999997
1987-07-21,22,17.583777720000008
1987-07-22,15,27.003531599999995
1987-07-23,22,20.2842378
1987-07-24,28,33.0184692
1987-07-25,19,25.542486000000004
1987-07-26,30,16.50762576
1987-07-27,22,24.7084524
1987-07-28,13,23.26133376
1987-07-29,15,19.37188152
1987-07-30,22,14.01209172
1987-07-31,19,17.3557296
1987-08-01,19,13.819176
1987-08-02,22,18.00253188
1987-08-03,17,22.90196736
1987-08-04,28,27.393427440000004
1987-08-05,22,23.16202056
1987-08-06,15,26.751150000000006
1987-08-07,19,15.791502600000005
1987-08-08,17,19.2877848
1987-08-09,24,30.577064399999994
1987-08-10,28,18.666428399999997
1987-08-11,15,29.096478
1987-08-12,17,35.74788479999999
1987-08-13,17,29.417817600000006
1987-08-14,17,29.412126
1987-08-15,19,19.02155508
1987-08-16,20,22.53560616
1987-08-17,24,20.4252552
1987-08-18,17,20.5694712
1987-08-19,28,19.7655048
1987-08-20,22,21.5347284
1987-08-21,24,36.9579204
1987-08-22,41,26.9051346
1987-08-23,41,22.459428000000006
1987-08-24,26,36.72041400000001
1987-08-25,20,19.564885800000006
1987-08-26,22,14.963684400000002
1987-08-27,28,34.1933364
1987-08-28,22,32.913464399999995
1987-08-29,19,21.16381536
