date,max_temperature,min_temperature,max_relative_humidity,min_relative_humidity,max_wind_speed,min_wind_speed,rain,precipitation,snow,snow_on_ground
1990-02-14,-0.6,-6.6,79,49,35,13,0.0,0.4,0.4,1.0
1990-02-15,-4.2,-7.7,100,85,30,11,2.8,21.2,14.0,6.0
1990-02-16,2.0,-5.5,98,64,43,0,4.4,4.4,0.0,13.0
1990-02-17,-1.3,-16.2,90,61,35,0,0.0,0.0,0.0,12.0
1990-02-18,2.8,-19.3,83,57,37,0,0.0,0.0,0.0,12.0
1990-02-19,1.8,-8.1,79,58,46,7,0.0,0.2,0.2,10.0
1990-02-20,-1.7,-12.0,77,50,20,0,0.0,0.0,0.0,10.0
1990-02-21,6.0,-7.6,75,34,22,9,0.0,0.0,0.0,10.0
1990-02-22,3.8,-1.0,98,51,28,0,31.0,31.0,0.0,9.0
1990-02-23,1.6,-7.0,96,72,31,11,0.8,2.0,1.0,7.0
1990-02-24,-4.1,-12.5,92,71,35,0,0.0,1.0,1.0,8.0
1990-02-25,-12.2,-19.5,83,53,43,7,0.0,0.0,0.0,9.0
1990-02-26,-5.6,-18.3,88,51,26,0,0.0,0.0,0.0,9.0
1990-02-27,1.7,-7.0,90,59,39,13,0.0,0.6,0.6,9.0
1990-02-28,-4.0,-10.0,73,59,22,4,0.0,0.0,0.0,9.0
1990-03-01,2.4,-10.9,84,62,52,7,0.0,0.0,0.0,9.0
1990-03-02,5.0,-3.7,79,54,35,13,0.0,0.0,0.0,6.0
1990-03-03,-3.0,-12.5,73,56,33,11,0.0,0.0,0.0,4.0
1990-03-04,-4.8,-12.5,77,57,22,0,0.0,0.0,0.0,4.0
1990-03-05,-5.2,-13.5,73,44,17,6,0.0,0.0,0.0,3.0
1990-03-06,-5.6,-12.8,67,37,22,4,0.0,0.0,0.0,3.0
1990-03-07,-3.6,-10.9,77,51,19,6,0.0,0.0,0.0,3.0
1990-03-08,3.3,-11.6,87,55,15,0,0.0,0.0,0.0,3.0
1990-03-09,2.9,-3.1,96,77,11,0,1.0,1.0,0.0,2.0
1990-03-10,5.1,0.8,100,84,19,0,1.2,1.2,0.0,1.0
1990-03-11,6.6,1.7,100,60,26,4,11.2,11.2,0.0,0.0
1990-03-12,7.3,0.7,100,88,13,0,5.5,5.5,0.0,0.0
1990-03-13,21.4,0.9,100,67,20,0,0.0,0.0,0.0,0.0
1990-03-14,16.0,7.1,100,76,13,0,0.0,0.0,0.0,0.0
1990-03-15,16.8,6.2,100,66,13,0,0.0,0.0,0.0,0.0
1990-03-16,12.5,6.0,97,84,19,2,1.4,1.4,0.0,0.0
1990-03-17,13.0,2.9,97,53,48,6,0.0,0.0,0.0,0.0
1990-03-18,4.9,-2.0,81,62,39,4,0.0,0.0,0.0,0.0
1990-03-19,0.3,-5.7,96,59,35,0,0.0,2.4,3.0,0.0
