Date,Observedtasmax,Modeltasmax,Bias
2002-05-30,29.0,25.202500000000054,-3.797499999999946
2002-05-31,25.3,20.88174000000004,-4.418259999999961
2002-06-01,27.6,14.136560000000033,-13.463439999999968
2002-06-02,17.8,14.416700000000048,-3.3832999999999522
2002-06-03,14.4,15.438750000000026,1.0387500000000252
2002-06-04,13.9,20.44640000000004,6.546400000000039
2002-06-05,24.0,15.458100000000002,-8.541899999999998
2002-06-06,18.1,21.288400000000024,3.1884000000000228
2002-06-07,20.9,26.686800000000005,5.786800000000007
2002-06-08,26.3,23.99944,-2.300560000000001
2002-06-09,27.6,20.047540000000023,-7.552459999999979
2002-06-10,23.6,20.231770000000036,-3.368229999999965
2002-06-11,31.6,25.347770000000025,-6.252229999999976
2002-06-12,22.3,24.822350000000032,2.5223500000000314
2002-06-13,22.7,20.601679999999988,-2.0983200000000117
2002-06-14,19.1,18.631129999999985,-0.4688700000000168
2002-06-15,19.2,21.228300000000047,2.0283000000000477
2002-06-16,18.0,23.541440000000023,5.541440000000023
2002-06-17,19.9,29.756220000000038,9.85622000000004
2002-06-18,22.4,33.03164000000004,10.63164000000004
2002-06-19,24.7,34.791860000000035,10.091860000000036
2002-06-20,27.8,36.77987000000002,8.979870000000016
2002-06-21,30.1,32.416100000000036,2.3161000000000342
2002-06-22,27.1,24.326320000000123,-2.773679999999878
2002-06-23,32.2,18.745300000000046,-13.454699999999956
2002-06-24,21.9,18.719400000000007,-3.180599999999991
2002-06-25,32.1,19.826930000000004,-12.273069999999997
2002-06-26,31.3,24.048400000000008,-7.251599999999993
2002-06-27,27.5,24.091330000000035,-3.4086699999999652
2002-06-28,28.6,29.10604000000001,0.5060400000000094
2002-06-29,28.6,22.726160000000053,-5.873839999999948
2002-06-30,32.4,32.22946000000002,-0.17053999999998126
2002-07-01,35.6,31.546840000000035,-4.053159999999966
2002-07-02,35.3,33.345450000000035,-1.954549999999962
2002-07-03,35.1,35.15286000000003,0.05286000000003099
2002-07-04,32.5,35.46410000000003,2.9641000000000304
2002-07-05,25.4,30.283779999999986,4.883779999999987
2002-07-06,27.5,27.143850000000054,-0.35614999999994623
2002-07-07,31.0,28.3605,-2.6395000000000017
2002-07-08,33.6,28.30486000000002,-5.295139999999982
2002-07-09,28.9,32.97807999999992,4.078079999999922
2002-07-10,24.6,31.194120000000108,6.594120000000107
2002-07-11,25.7,30.43200000000001,4.73200000000001
2002-07-12,28.0,31.346900000000005,3.346900000000005
2002-07-13,29.4,29.78740000000005,0.3874000000000528
2002-07-14,32.9,27.397879999999986,-5.502120000000012
