Date,Observedtas,Modeltas,Bias
1986-10-30,3.03,13.344780000000016,10.314780000000017
1986-10-31,3.58,4.3877200000000585,0.8077200000000584
1986-11-01,10.97,3.709860000000049,-7.260139999999952
1986-11-02,3.53,5.162129999999992,1.6321299999999925
1986-11-03,4.53,3.223839999999996,-1.3061600000000042
1986-11-04,0.82,3.7822800000000143,2.9622800000000145
1986-11-05,2.4,3.1061000000000263,0.7061000000000264
1986-11-06,6.91,3.7743500000000254,-3.1356499999999747
1986-11-07,6.26,1.5155300000000125,-4.744469999999987
1986-11-08,10.6,1.2747700000000464,-9.325229999999953
1986-11-09,6.25,0.08357999999998356,-6.166420000000016
1986-11-10,0.33,0.5731799999999794,0.24317999999997936
1986-11-11,0.83,4.796840000000032,3.9668400000000323
1986-11-12,-0.3,6.577500000000043,6.877500000000043
1986-11-13,-6.04,1.8870500000000447,7.927050000000045
1986-11-14,-4.41,0.15130000000004884,4.561300000000049
1986-11-15,1.45,-1.3027700000000095,-2.7527700000000097
1986-11-16,1.57,0.015700000000038017,-1.554299999999962
1986-11-17,3.18,0.9770800000000008,-2.2029199999999993
1986-11-18,-0.69,0.10417999999998527,0.7941799999999852
1986-11-19,-5.7,0.5474200000000451,6.247420000000045
1986-11-20,-1.76,-0.9070999999999572,0.8529000000000428
1986-11-21,-2.67,-0.6554999999999609,2.014500000000039
1986-11-22,-0.62,3.4255299999999806,4.045529999999981
1986-11-23,2.12,4.296170000000018,2.1761700000000177
1986-11-24,3.38,3.753629999999987,0.37362999999998703
1986-11-25,2.14,4.213950000000011,2.073950000000011
1986-11-26,2.77,0.32152999999999565,-2.4484700000000044
1986-11-27,3.5,-1.230259999999987,-4.730259999999987
1986-11-28,2.63,-1.6170999999999935,-4.247099999999993
1986-11-29,2.36,-2.9150799999999317,-5.275079999999932
1986-11-30,-4.39,-2.275639999999953,2.1143600000000466
1986-12-01,-3.37,-1.008799999999951,2.361200000000049
1986-12-02,1.21,-1.1225299999999834,-2.3325299999999833
1986-12-03,1.88,8.315060000000019,6.435060000000019
1986-12-04,-1.13,7.031029999999987,8.161029999999986
1986-12-05,-1.54,3.3041600000000244,4.8441600000000244
1986-12-06,-0.69,5.794730000000016,6.484730000000017
1986-12-07,-1.55,2.1271000000000413,3.677100000000041
1986-12-08,-8.41,1.386099999999999,9.7961
1986-12-09,-2.82,2.167439999999999,4.987439999999999
1986-12-10,-3.57,1.8961400000000024,5.466140000000002
1986-12-11,-4.17,-0.9362499999999728,3.233750000000027
1986-12-12,-3.27,-1.7432599999999638,1.5267400000000362
1986-12-13,-10.77,-0.04917000000000371,10.720829999999996
1986-12-14,-2.75,-4.81129999999996,-2.06129999999996
1986-12-15,1.48,-4.67193999999995,-6.15193999999995
1986-12-16,0.84,-0.14109999999999445,-0.9810999999999944
1986-12-17,2.19,-3.1585999999999785,-5.348599999999978
1986-12-18,2.02,-6.547399999999982,-8.567399999999981
1986-12-19,0.88,-5.757539999999949,-6.637539999999949
1986-12-20,-0.24,-8.506719999999973,-8.266719999999973
1986-12-21,-2.84,-1.2482699999999909,1.591730000000009
1986-12-22,-1.75,0.34000000000003183,2.090000000000032
1986-12-23,0.93,2.473440000000039,1.543440000000039
1986-12-24,1.77,-0.19139999999998736,-1.9613999999999874
1986-12-25,1.99,-3.2855599999999754,-5.275559999999976
1986-12-26,1.18,0.8649800000000027,-0.3150199999999972
1986-12-27,0.02,2.0749799999999823,2.0549799999999823
1986-12-28,-0.08,0.6858200000000352,0.7658200000000351
1986-12-29,0.12,2.512870000000021,2.3928700000000207
1986-12-30,-0.43,-0.9088199999999916,-0.47881999999999164
1986-12-31,0.5,-6.118399999999951,-6.618399999999951
1987-01-01,0.57,-3.9895399999999768,-4.559539999999977
1987-01-02,-2.12,-6.040399999999978,-3.9203999999999777
1987-01-03,-4.47,-15.280899999999974,-10.810899999999975
1987-01-04,-5.58,-5.344149999999956,0.23585000000004364
1987-01-05,-2.66,-6.043829999999957,-3.383829999999957
1987-01-06,0.15,-6.491859999999974,-6.641859999999975
1987-01-07,0.8,-7.758729999999957,-8.558729999999958
1987-01-08,-1.97,-2.5999499999999784,-0.6299499999999785
1987-01-09,-0.6,1.378720000000044,1.978720000000044
1987-01-10,-0.11,0.36645000000004296,0.47645000000004295
1987-01-11,-1.65,-7.721169999999972,-6.071169999999972
1987-01-12,0.87,-7.06442999999996,-7.93442999999996
1987-01-13,0.73,-6.616399999999999,-7.346399999999999
1987-01-14,2.67,-2.5385499999999865,-5.2085499999999865
1987-01-15,1.9,3.150000000000034,1.2500000000000342
1987-01-16,-5.76,3.3687400000000025,9.128740000000002
